Sortierung,Ebene,Landesverband / Schule,Geschäftsstelle,Ortsverband,Kürzel,Gründungsdatum,Name 1,Name 2,Strasse,PLZ,Ort,Länge,Breite,Bundesland,Regierungsbezirk,Kreis
5,BuS,Hoya,,,SHOY,12.07.1959,Bundesschule Hoya,,Hasseler Steinweg 7,27318,Hoya,9.152903,52.80617,Niedersachsen, ,Nienburg (Weser)
5,BuS,Neuhausen,,,SNEU,08.07.1995,Bundesschule Neuhausen,,Novizenweg 1,73765,Neuhausen a.d.F.,9.279134,48.674511,Baden-Württemberg,Stuttgart,Esslingen
4,THW-Ltg.,,,,TLTG,22.08.1950,Leitung,,Provinzialstraße 93,53127,Bonn,7.068053,50.714905,Nordrhein-Westfalen,Köln,Bonn
4,THW-Ltg.,,,,TLTG,22.08.1950,Logistikzentrum,,Talburgstraße 52-54,42579,Heiligenhaus,6.953243,51.330348,Nordrhein-Westfalen,Düsseldorf,Mettmann
4,THW-Ltg.,,,,TLTG,22.08.1950,Zentrum für Auslandslogistik,,Heinrich-von-Brentano-Str. 1,55130,Mainz,8.2914,49.977945,Rheinland-Pfalz, ,Mainz
3,LV,Baden-Württemberg,,,LVBW,,Der Landesbeauftragte für Baden-Württemberg,,Burgholzstr. 31,70376,Stuttgart,9.207881,48.822025,Baden-Württemberg,Stuttgart,Stuttgart
3,LV,Bayern,,,LVBY,,Der Landesbeauftragte für Bayern,,Hedwig-Dransfeld-Allee 11,80637,München,11.543568,48.164242,Bayern,Oberbayern,München
3,LV,"Berlin, Brandenburg, Sachsen-Anhalt",,,LVBE,,"Der Landesbeauftragte für Berlin, Brandenburg, Sachsen-Anhalt",,Soorstraße 84,14050,Berlin,13.279033,52.516592,Berlin, ,Berlin
3,LV,"Bremen, Niedersachsen",,,LVNI,,"Der Landesbeauftragte für Bremen, Niedersachsen",,Kriegerstraße 1,30161,Hannover,9.742521,52.386472,Niedersachsen, ,Hannover
3,LV,"Hamburg, Mecklenburg-Vorpommern",,,LVSH,,"Der Landesbeauftragte für Hamburg, Mecklenburg-Vorpommern, Schleswig-Holstein",,Saarbrückenstraße 145,24114,Kiel,10.1055629,54.31009,Schleswig-Holstein, ,Kiel
3,LV,"Hessen, Rheinland-Pfalz, Saarland",,,LVRP,,"Der Landesbeauftragte für Hessen, Rheinland-Pfalz, Saarland",,Heinrich-von-Brentano-Str. 1,55130,Mainz,8.2914,49.977945,Rheinland-Pfalz, ,Mainz
3,LV,Nordrhein-Westfalen,,,LVNW,,Der Landesbeauftragte für Nordrhein-Westfalen,,Talburgstraße 52-54,42579,Heiligenhaus,6.953243,51.330348,Nordrhein-Westfalen,Düsseldorf,Mettmann
3,LV,"Sachsen, Thüringen",,,LVTH,28.06.1996,"Die Landesbeauftragte für Sachsen, Thüringen",,Geschwister-Scholl-Straße 2,4600,Altenburg,12.431563,50.98144,Thüringen, ,Altenburger Land
2,GSt,Baden-Württemberg,Biberach,,GBIB,,Landesverband Baden-Württemberg,Geschäftsstelle Biberach,Rolf-Keller-Platz 2,88400,Biberach/Riß,9.807007,48.09554,Baden-Württemberg,Tübingen,Biberach
2,GSt,Baden-Württemberg,Freiburg,,GFRE,,Landesverband Baden-Württemberg,Geschäftsstelle Freiburg,Hermann-Mitsch-Straße 21,79108,Freiburg i.B.,7.837703,48.025692,Baden-Württemberg,Freiburg,Freiburg i.B.
2,GSt,Baden-Württemberg,Göppingen,,GGOE,,Landesverband Baden-Württemberg,Geschäftsstelle Göppingen,Manfred-Wörner-Straße 180,73037,Göppingen,9.68833,48.767,Baden-Württemberg,Stuttgart,Göppingen
2,GSt,Baden-Württemberg,Heilbronn,,GHBR,,Landesverband Baden-Württemberg,Geschäftsstelle Heilbronn,Kreuzenstraße 98,74076,Heilbronn,9.225508,49.1603,Baden-Württemberg,Stuttgart,Heilbronn
2,GSt,Baden-Württemberg,Karlsruhe,,GKAR,,Landesverband Baden-Württemberg,Geschäftsstelle Karlsruhe,Grünhutstraße 9,76187,Karlsruhe,8.351439,49.03906,Baden-Württemberg,Karlsruhe,Karlsruhe
